origin_city,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
"Aberdeen, SD","Minneapolis, MN",93,29,39,2,0,127,6,728
"Abilene, TX","Dallas/Fort Worth, TX",93,66,139,1,177,284,15,1757
"Adak Island, AK","Anchorage, AK",1,0,6,10,8,16,8,104
"Aguadilla, PR","Fort Lauderdale, FL",30,2,26,0,58,63,2,349
"Aguadilla, PR","New York, NY",81,1,73,0,84,133,12,627
"Aguadilla, PR","Newark, NJ",44,4,37,0,80,82,11,366
"Aguadilla, PR","Orlando, FL",96,14,62,0,186,215,10,917
"Aguadilla, PR","Tampa, FL",34,2,27,0,43,54,2,187
"Akron, OH","Charlotte, NC",150,15,143,0,134,252,7,1287
"Akron, OH","Chicago, IL",127,15,105,0,109,270,17,1069
"Akron, OH","Fort Lauderdale, FL",8,1,11,0,15,20,0,62
"Akron, OH","Las Vegas, NV",0,0,0,0,0,0,0,1
"Akron, OH","Myrtle Beach, SC",3,0,1,0,3,5,0,22
"Akron, OH","Nashville, TN",3,0,2,0,6,8,2,64
"Akron, OH","Punta Gorda, FL",16,1,18,0,14,29,1,116
"Akron, OH","Sanford, FL",10,3,17,0,18,29,2,109
"Akron, OH","Sarasota/Bradenton, FL",9,0,8,0,12,19,5,124
"Akron, OH","Savannah, GA",22,0,20,0,29,38,2,154
"Akron, OH","St. Petersburg, FL",5,4,9,0,10,21,3,104
"Akron, OH","Washington, DC",23,1,28,0,3,43,5,364
"Albany, GA","Atlanta, GA",133,24,46,0,3,158,7,765
"Albany, NY","Atlanta, GA",93,11,66,0,83,162,13,1011
"Albany, NY","Baltimore, MD",153,4,93,1,185,230,10,1645
"Albany, NY","Charlotte, NC",140,24,148,0,187,283,14,1206
"Albany, NY","Chicago, IL",170,20,208,1,149,351,16,1983
"Albany, NY","Dallas/Fort Worth, TX",43,6,45,1,4,72,3,350
"Albany, NY","Denver, CO",31,1,25,0,35,43,2,189
"Albany, NY","Detroit, MI",111,29,72,0,42,177,9,1304
"Albany, NY","Fort Lauderdale, FL",56,4,57,2,45,96,6,396
"Albany, NY","Fort Myers, FL",0,0,3,0,2,3,0,5
"Albany, NY","Las Vegas, NV",24,1,18,0,14,27,0,77
"Albany, NY","Miami, FL",1,2,5,0,0,6,0,21
"Albany, NY","Myrtle Beach, SC",11,4,13,1,13,21,1,110
"Albany, NY","Nashville, TN",7,1,5,2,15,17,2,108
"Albany, NY","New York, NY",25,9,43,0,24,62,19,654
"Albany, NY","Newark, NJ",4,0,10,0,1,13,3,133
"Albany, NY","Orlando, FL",144,8,144,1,171,245,14,1084
"Albany, NY","Punta Gorda, FL",10,5,25,0,22,37,2,138
"Albany, NY","Sanford, FL",5,1,11,0,5,15,1,91
"Albany, NY","St. Petersburg, FL",11,2,8,0,11,22,2,126
"Albany, NY","Tampa, FL",25,0,27,0,33,49,4,203
"Albany, NY","Washington, DC",84,17,166,1,146,248,33,1208
"Albuquerque, NM","Atlanta, GA",68,1,57,0,43,99,8,953
"Albuquerque, NM","Austin, TX",92,4,51,0,79,121,3,730
"Albuquerque, NM","Baltimore, MD",69,1,59,1,65,94,2,396
"Albuquerque, NM","Burbank, CA",55,1,19,0,71,70,3,331
"Albuquerque, NM","Chicago, IL",119,9,107,1,111,188,5,1333
"Albuquerque, NM","Dallas, TX",164,9,146,0,222,293,16,1695
"Albuquerque, NM","Dallas/Fort Worth, TX",213,67,262,0,355,538,66,2460
"Albuquerque, NM","Denver, CO",211,17,163,0,270,389,28,2822
"Albuquerque, NM","Houston, TX",110,7,107,1,99,195,22,1470
"Albuquerque, NM","Kansas City, MO",37,1,20,0,53,59,0,345
"Albuquerque, NM","Las Vegas, NV",173,11,222,1,285,406,9,2113
"Albuquerque, NM","Long Beach, CA",32,0,16,0,43,51,0,293
"Albuquerque, NM","Los Angeles, CA",213,28,111,1,103,294,1,2301
"Albuquerque, NM","Minneapolis, MN",8,1,6,0,0,11,2,244
"Albuquerque, NM","New York, NY",80,2,58,0,89,103,5,259
"Albuquerque, NM","Oakland, CA",14,0,3,0,3,14,0,346
"Albuquerque, NM","Orlando, FL",22,1,26,0,22,33,0,75
"Albuquerque, NM","Phoenix, AZ",278,23,229,2,367,537,6,3243
"Albuquerque, NM","Portland, OR",1,0,0,0,2,3,0,8
"Albuquerque, NM","Salt Lake City, UT",49,26,26,0,3,82,4,1054
"Albuquerque, NM","San Antonio, TX",3,0,1,0,5,5,0,18
"Albuquerque, NM","San Diego, CA",74,4,58,0,113,136,4,607
"Albuquerque, NM","San Francisco, CA",39,2,75,0,23,108,8,581
"Albuquerque, NM","Seattle, WA",18,5,54,3,61,90,4,415
"Alexandria, LA","Atlanta, GA",54,24,53,0,71,131,9,878
"Alexandria, LA","Dallas/Fort Worth, TX",120,66,92,4,34,221,24,1088
"Allentown/Bethlehem/Easton, PA","Atlanta, GA",68,9,73,0,75,147,14,1017
"Allentown/Bethlehem/Easton, PA","Charlotte, NC",84,13,68,1,119,172,15,1166
"Allentown/Bethlehem/Easton, PA","Chicago, IL",35,1,20,0,22,65,12,315
"Allentown/Bethlehem/Easton, PA","Denver, CO",8,1,12,0,5,16,1,86
"Allentown/Bethlehem/Easton, PA","Fort Lauderdale, FL",6,1,6,0,8,13,0,81
"Allentown/Bethlehem/Easton, PA","Melbourne, FL",3,2,4,0,2,8,2,105
"Allentown/Bethlehem/Easton, PA","Myrtle Beach, SC",15,3,6,0,6,20,3,188
"Allentown/Bethlehem/Easton, PA","Nashville, TN",7,0,3,0,11,14,0,105
"Allentown/Bethlehem/Easton, PA","Orlando, FL",7,3,8,0,7,13,2,68
"Allentown/Bethlehem/Easton, PA","Punta Gorda, FL",18,3,23,1,15,37,3,197
"Allentown/Bethlehem/Easton, PA","Sanford, FL",59,13,46,0,50,107,9,642
"Allentown/Bethlehem/Easton, PA","Sarasota/Bradenton, FL",6,0,10,0,4,14,4,106
"Allentown/Bethlehem/Easton, PA","St. Petersburg, FL",15,4,19,1,10,31,6,261
"Alpena, MI","Detroit, MI",80,27,34,2,0,112,20,629
"Amarillo, TX","Austin, TX",8,0,30,0,25,41,1,231
"Amarillo, TX","Dallas, TX",41,4,80,0,94,148,7,1275
"Amarillo, TX","Dallas/Fort Worth, TX",200,61,232,2,262,452,44,2421
"Amarillo, TX","Denver, CO",83,10,69,0,28,135,10,614
"Amarillo, TX","Houston, TX",12,2,6,0,9,24,2,179
"Amarillo, TX","Las Vegas, NV",26,1,48,2,73,94,1,366
