month,origin_city,dest_city,is_late,cancelled,flight_number
1,"Aberdeen, SD","Minneapolis, MN",6,4,61
1,"Abilene, TX","Dallas/Fort Worth, TX",33,2,151
1,"Adak Island, AK","Anchorage, AK",2,3,9
1,"Aguadilla, PR","Fort Lauderdale, FL",4,0,31
1,"Aguadilla, PR","New York, NY",6,0,46
1,"Aguadilla, PR","Newark, NJ",6,0,31
1,"Aguadilla, PR","Orlando, FL",17,0,72
1,"Aguadilla, PR","Tampa, FL",13,1,49
1,"Akron, OH","Charlotte, NC",16,0,94
1,"Akron, OH","Chicago, IL",36,9,84
1,"Akron, OH","Fort Lauderdale, FL",1,0,9
1,"Akron, OH","Nashville, TN",0,1,8
1,"Akron, OH","Punta Gorda, FL",1,0,9
1,"Akron, OH","Sanford, FL",1,0,9
1,"Akron, OH","Sarasota/Bradenton, FL",0,0,8
1,"Akron, OH","Savannah, GA",2,0,9
1,"Akron, OH","St. Petersburg, FL",1,0,8
1,"Akron, OH","Washington, DC",3,2,31
1,"Albany, GA","Atlanta, GA",10,0,62
1,"Albany, NY","Atlanta, GA",9,0,75
1,"Albany, NY","Baltimore, MD",14,2,136
1,"Albany, NY","Charlotte, NC",26,1,93
1,"Albany, NY","Chicago, IL",21,6,109
1,"Albany, NY","Dallas/Fort Worth, TX",10,0,31
1,"Albany, NY","Denver, CO",1,0,1
1,"Albany, NY","Detroit, MI",22,1,87
1,"Albany, NY","Fort Lauderdale, FL",14,1,29
1,"Albany, NY","Miami, FL",1,0,4
1,"Albany, NY","Myrtle Beach, SC",0,0,3
1,"Albany, NY","Nashville, TN",1,1,9
1,"Albany, NY","New York, NY",4,4,53
1,"Albany, NY","Orlando, FL",23,1,88
1,"Albany, NY","Punta Gorda, FL",2,0,11
1,"Albany, NY","Sanford, FL",1,0,8
1,"Albany, NY","St. Petersburg, FL",1,0,9
1,"Albany, NY","Tampa, FL",9,0,31
1,"Albany, NY","Washington, DC",23,5,86
1,"Albuquerque, NM","Atlanta, GA",6,0,71
1,"Albuquerque, NM","Austin, TX",15,2,76
1,"Albuquerque, NM","Baltimore, MD",10,1,31
1,"Albuquerque, NM","Burbank, CA",5,0,20
1,"Albuquerque, NM","Chicago, IL",25,1,90
1,"Albuquerque, NM","Dallas, TX",17,5,145
1,"Albuquerque, NM","Dallas/Fort Worth, TX",55,6,186
1,"Albuquerque, NM","Denver, CO",30,11,211
1,"Albuquerque, NM","Houston, TX",19,2,113
1,"Albuquerque, NM","Kansas City, MO",7,0,28
1,"Albuquerque, NM","Las Vegas, NV",27,1,150
1,"Albuquerque, NM","Long Beach, CA",6,0,27
1,"Albuquerque, NM","Los Angeles, CA",13,0,176
1,"Albuquerque, NM","Minneapolis, MN",0,0,7
1,"Albuquerque, NM","Oakland, CA",3,0,30
1,"Albuquerque, NM","Orlando, FL",1,0,4
1,"Albuquerque, NM","Phoenix, AZ",46,2,229
1,"Albuquerque, NM","Salt Lake City, UT",11,0,88
1,"Albuquerque, NM","San Diego, CA",7,0,41
1,"Albuquerque, NM","San Francisco, CA",7,0,61
1,"Albuquerque, NM","Seattle, WA",10,2,24
1,"Alexandria, LA","Atlanta, GA",14,2,62
1,"Alexandria, LA","Dallas/Fort Worth, TX",27,6,93
1,"Allentown/Bethlehem/Easton, PA","Atlanta, GA",24,0,80
1,"Allentown/Bethlehem/Easton, PA","Charlotte, NC",19,4,92
1,"Allentown/Bethlehem/Easton, PA","Chicago, IL",5,7,39
1,"Allentown/Bethlehem/Easton, PA","Denver, CO",1,0,8
1,"Allentown/Bethlehem/Easton, PA","Fort Lauderdale, FL",4,0,11
1,"Allentown/Bethlehem/Easton, PA","Melbourne, FL",1,0,9
1,"Allentown/Bethlehem/Easton, PA","Myrtle Beach, SC",2,0,9
1,"Allentown/Bethlehem/Easton, PA","Nashville, TN",1,0,9
1,"Allentown/Bethlehem/Easton, PA","Punta Gorda, FL",4,0,16
1,"Allentown/Bethlehem/Easton, PA","Sanford, FL",8,0,50
1,"Allentown/Bethlehem/Easton, PA","Sarasota/Bradenton, FL",2,0,9
1,"Allentown/Bethlehem/Easton, PA","St. Petersburg, FL",4,0,17
1,"Alpena, MI","Detroit, MI",12,13,51
1,"Amarillo, TX","Austin, TX",4,1,19
1,"Amarillo, TX","Dallas, TX",12,4,114
1,"Amarillo, TX","Dallas/Fort Worth, TX",55,11,183
1,"Amarillo, TX","Denver, CO",10,3,40
1,"Amarillo, TX","Houston, TX",0,0,10
1,"Amarillo, TX","Las Vegas, NV",9,0,31
1,"Anchorage, AK","Adak Island, AK",1,3,9
1,"Anchorage, AK","Barrow, AK",7,7,30
1,"Anchorage, AK","Bethel, AK",16,2,60
1,"Anchorage, AK","Chicago, IL",2,1,10
1,"Anchorage, AK","Cordova, AK",12,0,30
1,"Anchorage, AK","Dallas/Fort Worth, TX",1,0,7
1,"Anchorage, AK","Deadhorse, AK",10,6,46
1,"Anchorage, AK","Denver, CO",7,0,31
1,"Anchorage, AK","Fairbanks, AK",8,1,31
1,"Anchorage, AK","Honolulu, HI",7,6,31
1,"Anchorage, AK","Juneau, AK",26,3,91
1,"Anchorage, AK","Kahului, HI",0,5,10
1,"Anchorage, AK","Kodiak, AK",13,5,57
1,"Anchorage, AK","Kona, HI",10,5,27
1,"Anchorage, AK","Las Vegas, NV",2,0,8
1,"Anchorage, AK","Los Angeles, CA",10,4,31
1,"Anchorage, AK","Minneapolis, MN",4,0,17
1,"Anchorage, AK","Nome, AK",6,3,30
1,"Anchorage, AK","Phoenix, AZ",9,6,31
1,"Anchorage, AK","Portland, OR",8,4,28
1,"Anchorage, AK","Seattle, WA",108,41,515
1,"Appleton, WI","Atlanta, GA",12,1,34
1,"Appleton, WI","Charlotte, NC",1,1,31
1,"Appleton, WI","Chicago, IL",45,17,139
1,"Appleton, WI","Denver, CO",10,1,32
1,"Appleton, WI","Detroit, MI",20,2,62
1,"Appleton, WI","Fort Lauderdale, FL",3,0,8
1,"Appleton, WI","Las Vegas, NV",2,0,9
1,"Appleton, WI","Minneapolis, MN",17,2,62
1,"Appleton, WI","Nashville, TN",3,2,10
1,"Appleton, WI","Phoenix, AZ",2,0,18
1,"Appleton, WI","Punta Gorda, FL",3,0,15
1,"Appleton, WI","Sanford, FL",5,0,17
1,"Appleton, WI","Sarasota/Bradenton, FL",1,0,9
1,"Appleton, WI","St. Petersburg, FL",3,1,15
1,"Arcata/Eureka, CA","Denver, CO",4,0,23
1,"Arcata/Eureka, CA","Los Angeles, CA",3,2,31
