month,distance_category,is_late,cancelled,flight_number
1,1000-1499 miles,22901,3339,94714
1,1500-2499 miles,12202,2528,57474
1,300-599 miles,30937,4545,146405
1,600-999 miles,35471,5885,153175
1,< 300 miles,18527,3298,84308
1,≥ 2500 miles,2470,794,11195
2,1000-1499 miles,15542,431,90966
2,1500-2499 miles,8835,229,53428
2,300-599 miles,19750,856,139172
2,600-999 miles,22343,740,144883
2,< 300 miles,10320,682,80401
2,≥ 2500 miles,1999,64,10371
3,1000-1499 miles,24552,1194,105728
3,1500-2499 miles,13165,355,62773
3,300-599 miles,28591,1024,155496
3,600-999 miles,35063,1767,167262
3,< 300 miles,14386,715,88553
3,≥ 2500 miles,2341,65,11955
4,1000-1499 miles,18848,802,98342
4,1500-2499 miles,11577,234,61505
4,300-599 miles,28253,977,158102
4,600-999 miles,30237,1199,163780
4,< 300 miles,14826,774,89034
4,≥ 2500 miles,2400,49,11442
5,1000-1499 miles,26613,1588,97681
5,1500-2499 miles,17049,507,66048
5,300-599 miles,40611,1990,168167
5,600-999 miles,45692,2453,172223
5,< 300 miles,21156,1634,93161
5,≥ 2500 miles,2716,72,12463
6,1000-1499 miles,24797,1396,95880
6,1500-2499 miles,17525,609,70005
6,300-599 miles,37635,1980,166344
6,600-999 miles,42828,2358,173936
6,< 300 miles,19896,1419,91844
6,≥ 2500 miles,2806,114,13123
7,1000-1499 miles,29105,2725,98721
7,1500-2499 miles,20945,2353,73875
7,300-599 miles,47411,5010,171580
7,600-999 miles,51493,5109,180236
7,< 300 miles,25100,2904,96221
7,≥ 2500 miles,3189,271,13980
8,1000-1499 miles,22923,1885,94296
8,1500-2499 miles,16554,1102,69989
8,300-599 miles,35938,3519,172086
8,600-999 miles,39815,3801,172015
8,< 300 miles,19655,2239,97480
8,≥ 2500 miles,2847,168,13158
9,1000-1499 miles,12860,448,87022
9,1500-2499 miles,9432,248,63163
9,300-599 miles,24494,1068,165864
9,600-999 miles,23806,1052,160420
9,< 300 miles,13858,645,94647
9,≥ 2500 miles,1732,38,11506
10,1000-1499 miles,11884,1518,94087
10,1500-2499 miles,8304,454,65626
10,300-599 miles,21817,1304,174612
10,600-999 miles,20795,2489,170798
10,< 300 miles,12547,448,98729
10,≥ 2500 miles,1638,71,11645
11,1000-1499 miles,13051,323,92595
11,1500-2499 miles,9011,142,61398
11,300-599 miles,22346,753,160329
11,600-999 miles,22363,720,159067
11,< 300 miles,12173,665,90641
11,≥ 2500 miles,1747,26,11374
12,1000-1499 miles,22171,683,100961
12,1500-2499 miles,12252,225,64699
12,300-599 miles,31979,1128,159646
12,600-999 miles,33056,1093,163353
12,< 300 miles,17762,969,89415
12,≥ 2500 miles,2475,53,12507
