week_number,distance_category,is_late,cancelled,flight_number
1,1000-1499 miles,6029,250,29524
1,1500-2499 miles,3138,255,18570
1,300-599 miles,6823,216,42371
1,600-999 miles,8471,325,46147
1,< 300 miles,3576,181,23353
1,≥ 2500 miles,582,96,3650
2,1000-1499 miles,7122,1328,21111
2,1500-2499 miles,3637,823,12725
2,300-599 miles,8793,1623,32764
2,600-999 miles,10758,2094,34058
2,< 300 miles,5267,1207,19080
2,≥ 2500 miles,645,220,2460
3,1000-1499 miles,6238,1259,21147
3,1500-2499 miles,3365,833,12653
3,300-599 miles,9243,1980,33340
3,600-999 miles,10037,2613,34527
3,< 300 miles,5538,1288,19369
3,≥ 2500 miles,672,250,2460
4,1000-1499 miles,3823,532,21108
4,1500-2499 miles,2119,575,12657
4,300-599 miles,6351,720,33335
4,600-999 miles,6549,855,34510
4,< 300 miles,4007,583,19382
4,≥ 2500 miles,490,216,2461
5,1000-1499 miles,3209,81,20938
5,1500-2499 miles,2184,106,12506
5,300-599 miles,4351,383,33068
5,600-999 miles,4658,264,34148
5,< 300 miles,2605,290,19160
5,≥ 2500 miles,610,34,2428
6,1000-1499 miles,2988,21,20953
6,1500-2499 miles,1665,35,12539
6,300-599 miles,4207,71,32978
6,600-999 miles,4413,52,34068
6,< 300 miles,2302,62,19080
6,≥ 2500 miles,284,7,2424
7,1000-1499 miles,4521,268,21934
7,1500-2499 miles,2198,100,12885
7,300-599 miles,5047,320,33028
7,600-999 miles,6274,371,34646
7,< 300 miles,2632,269,19134
7,≥ 2500 miles,581,29,2495
8,1000-1499 miles,3279,38,22887
8,1500-2499 miles,2102,20,13233
8,300-599 miles,4146,26,34275
8,600-999 miles,4540,33,35789
8,< 300 miles,1987,41,19770
8,≥ 2500 miles,468,8,2582
9,1000-1499 miles,4902,88,22720
9,1500-2499 miles,2752,37,13221
9,300-599 miles,6199,225,34333
9,600-999 miles,7223,216,35792
9,< 300 miles,3098,205,19780
9,≥ 2500 miles,554,12,2580
10,1000-1499 miles,5568,463,23366
10,1500-2499 miles,2804,116,13701
10,300-599 miles,6404,239,34718
10,600-999 miles,8094,632,37065
10,< 300 miles,3301,156,19877
10,≥ 2500 miles,489,20,2637
11,1000-1499 miles,5488,274,24204
11,1500-2499 miles,2905,111,14399
11,300-599 miles,6411,402,35402
11,600-999 miles,8063,612,38248
11,< 300 miles,3431,260,20131
11,≥ 2500 miles,438,8,2713
12,1000-1499 miles,5704,288,24168
12,1500-2499 miles,2899,68,14458
12,300-599 miles,6275,161,35466
12,600-999 miles,7725,224,38352
12,< 300 miles,3345,129,20169
12,≥ 2500 miles,517,15,2737
13,1000-1499 miles,5348,115,24100
13,1500-2499 miles,3141,46,14465
13,300-599 miles,6521,88,35504
13,600-999 miles,7720,160,38269
13,< 300 miles,2898,47,20145
13,≥ 2500 miles,603,16,2745
14,1000-1499 miles,4910,363,23835
14,1500-2499 miles,3000,102,14409
14,300-599 miles,6851,401,36251
14,600-999 miles,7507,496,38419
14,< 300 miles,3529,322,20484
14,≥ 2500 miles,578,12,2741
15,1000-1499 miles,4991,161,22827
15,1500-2499 miles,2759,56,14275
15,300-599 miles,7327,196,36860
15,600-999 miles,7975,265,38104
15,< 300 miles,3898,114,20770
15,≥ 2500 miles,660,13,2729
16,1000-1499 miles,4145,209,22623
16,1500-2499 miles,2810,42,14393
16,300-599 miles,6627,243,37084
16,600-999 miles,7189,304,38071
16,< 300 miles,3435,205,20815
16,≥ 2500 miles,545,15,2612
17,1000-1499 miles,3965,63,22626
17,1500-2499 miles,2498,22,14371
17,300-599 miles,6009,114,37163
17,600-999 miles,6148,110,38232
17,< 300 miles,3209,114,20923
17,≥ 2500 miles,492,7,2612
18,1000-1499 miles,4267,107,22351
18,1500-2499 miles,2708,58,14390
18,300-599 miles,6916,141,37295
18,600-999 miles,7174,223,38440
18,< 300 miles,3720,128,20995
18,≥ 2500 miles,513,12,2671
19,1000-1499 miles,6233,136,22083
19,1500-2499 miles,3784,75,14694
19,300-599 miles,9734,366,37823
19,600-999 miles,11024,339,38703
19,< 300 miles,4865,302,20990
19,≥ 2500 miles,612,23,2738
20,1000-1499 miles,6381,288,22031
20,1500-2499 miles,3769,74,14929
20,300-599 miles,9391,346,38009
20,600-999 miles,10758,431,38835
20,< 300 miles,4894,298,21001
20,≥ 2500 miles,590,12,2779
21,1000-1499 miles,5753,227,21773
21,1500-2499 miles,4330,96,15087
21,300-599 miles,9054,400,37561
21,600-999 miles,10087,423,38603
21,< 300 miles,4904,328,20731
21,≥ 2500 miles,686,8,2895
22,1000-1499 miles,6391,1025,22066
22,1500-2499 miles,4068,298,15344
22,300-599 miles,9283,945,38538
22,600-999 miles,10712,1316,39451
22,< 300 miles,4656,714,21185
22,≥ 2500 miles,668,29,2970
23,1000-1499 miles,5525,182,22382
23,1500-2499 miles,3873,86,16100
23,300-599 miles,9013,320,38977
23,600-999 miles,9919,408,40516
23,< 300 miles,4852,267,21362
23,≥ 2500 miles,623,22,3018
24,1000-1499 miles,5636,634,22435
24,1500-2499 miles,3753,171,16476
24,300-599 miles,8105,418,39124
24,600-999 miles,9134,755,40887
24,< 300 miles,4143,249,21620
24,≥ 2500 miles,586,39,3063
25,1000-1499 miles,5353,147,22459
25,1500-2499 miles,3939,89,16537
25,300-599 miles,8134,332,39111
25,600-999 miles,9187,311,40914
25,< 300 miles,4472,299,21642
25,≥ 2500 miles,663,17,3094
26,1000-1499 miles,6708,244,22412
26,1500-2499 miles,4860,181,16553
26,300-599 miles,10055,725,38817
26,600-999 miles,11943,629,40764
26,< 300 miles,5301,487,21521
26,≥ 2500 miles,706,26,3106
27,1000-1499 miles,4512,125,21486
27,1500-2499 miles,3420,101,16065
27,300-599 miles,6962,308,36513
27,600-999 miles,7714,315,39135
27,< 300 miles,3734,282,20473
27,≥ 2500 miles,564,12,3135
28,1000-1499 miles,6673,552,22535
28,1500-2499 miles,4827,249,16880
28,300-599 miles,10652,608,39373
28,600-999 miles,11651,886,41226
28,< 300 miles,5759,515,22065
28,≥ 2500 miles,770,29,3166
29,1000-1499 miles,8299,1508,22564
29,1500-2499 miles,5863,1525,16906
29,300-599 miles,13853,2900,39391
29,600-999 miles,15038,2862,41216
29,< 300 miles,7293,1502,22075
29,≥ 2500 miles,820,181,3166
30,1000-1499 miles,7160,496,22581
30,1500-2499 miles,4954,446,16905
30,300-599 miles,11340,1045,39389
30,600-999 miles,12367,921,41196
30,< 300 miles,5932,522,22065
30,≥ 2500 miles,727,44,3166
31,1000-1499 miles,6498,787,22517
31,1500-2499 miles,4989,430,16843
31,300-599 miles,10860,1395,39361
31,600-999 miles,11770,1545,41065
31,< 300 miles,5726,839,22057
31,≥ 2500 miles,820,69,3161
32,1000-1499 miles,6482,705,21613
32,1500-2499 miles,4647,382,16214
32,300-599 miles,10483,1277,39351
32,600-999 miles,11672,1387,39392
32,< 300 miles,5669,739,22145
32,≥ 2500 miles,760,56,3051
33,1000-1499 miles,4254,206,21200
33,1500-2499 miles,3345,172,15885
33,300-599 miles,6835,339,39075
33,600-999 miles,7426,374,38918
33,< 300 miles,3996,267,22190
33,≥ 2500 miles,621,31,3041
34,1000-1499 miles,4538,161,21129
34,1500-2499 miles,2871,86,15472
34,300-599 miles,6518,275,39280
34,600-999 miles,7409,363,38548
34,< 300 miles,3392,272,22380
34,≥ 2500 miles,514,9,2849
35,1000-1499 miles,4168,75,20132
35,1500-2499 miles,2878,76,14695
35,300-599 miles,6670,431,36846
35,600-999 miles,7058,289,36415
35,< 300 miles,3686,245,21118
35,≥ 2500 miles,479,9,2802
36,1000-1499 miles,2725,40,20278
36,1500-2499 miles,1797,26,14559
36,300-599 miles,4813,70,37774
36,600-999 miles,4994,71,37119
36,< 300 miles,2929,37,21646
36,≥ 2500 miles,378,4,2722
37,1000-1499 miles,2647,73,20294
37,1500-2499 miles,1923,27,14774
37,300-599 miles,4737,195,39040
