carrier_name,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
Alaska Airlines,18087,2068,33156,606,23557,50886,4811,245819
Allegiant Air,11521,2653,13615,202,13510,24206,2018,117210
American Airlines,145252,20217,120686,1885,150211,245502,15252,984306
Delta Air Lines,96721,7930,87692,166,70198,166417,9147,1009194
Endeavor Air,13297,1890,16683,29,16046,29985,4608,200094
Envoy Air,26385,8305,32713,293,33431,55489,3985,279955
Frontier Airlines,25229,1426,29996,0,37305,57048,4835,208623
Hawaiian Airlines,9768,748,656,110,6013,11293,822,78530
JetBlue Airways,41439,1577,31109,298,31826,58637,3735,240282
PSA Airlines,23870,5254,25273,458,28503,47181,3751,227971
Republic Airways,16469,2586,26791,98,16481,40101,5576,301465
SkyWest Airlines,77609,17677,59115,439,29207,135246,8527,744658
Southwest Airlines,169751,6791,122514,1559,199913,278523,11772,1419419
Spirit Airlines,30648,2792,47289,1237,20010,59413,4998,261103
United Airlines,82919,6991,78537,26,67004,143461,12478,760451
