bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,carrier_name,is_late,cancelled,flight_number
False,False,False,False,False,Alaska Airlines,46499,4811,192775
False,False,False,False,False,Allegiant Air,15108,2018,92313
False,False,False,False,False,American Airlines,152242,15252,731821
False,False,False,False,False,Delta Air Lines,143305,9147,836923
False,False,False,False,False,Endeavor Air,20120,4608,169212
False,False,False,False,False,Envoy Air,44015,3985,222523
False,False,False,False,False,Frontier Airlines,30401,4835,150144
False,False,False,False,False,Hawaiian Airlines,21349,822,66532
False,False,False,False,False,JetBlue Airways,31430,3735,180161
False,False,False,False,False,PSA Airlines,33821,3751,179277
False,False,False,False,False,Republic Airways,34248,5576,259911
False,False,False,False,False,SkyWest Airlines,108797,8527,605234
False,False,False,False,False,Southwest Airlines,248104,11772,1130005
False,False,False,False,False,Spirit Airlines,35470,4998,199940
False,False,False,False,False,United Airlines,107129,12478,612339
False,False,False,False,True,Alaska Airlines,10506,0,10506
False,False,False,False,True,Allegiant Air,3125,0,3125
False,False,False,False,True,American Airlines,33950,0,33950
False,False,False,False,True,Delta Air Lines,20361,0,20361
False,False,False,False,True,Endeavor Air,4902,0,4902
False,False,False,False,True,Envoy Air,6779,0,6779
False,False,False,False,True,Frontier Airlines,15064,0,15064
False,False,False,False,True,Hawaiian Airlines,1573,0,1573
False,False,False,False,True,JetBlue Airways,2885,0,2885
False,False,False,False,True,PSA Airlines,6815,0,6815
False,False,False,False,True,Republic Airways,4535,0,4535
False,False,False,False,True,SkyWest Airlines,17288,0,17288
False,False,False,False,True,Southwest Airlines,50238,0,50238
False,False,False,False,True,Spirit Airlines,5173,0,5173
False,False,False,False,True,United Airlines,13743,0,13743
False,False,False,True,False,Alaska Airlines,157,0,157
False,False,False,True,False,Allegiant Air,46,0,46
False,False,False,True,False,American Airlines,276,0,276
False,False,False,True,False,Delta Air Lines,74,0,74
False,False,False,True,False,Endeavor Air,11,0,11
False,False,False,True,False,Envoy Air,48,0,48
False,False,False,True,False,Hawaiian Airlines,21,0,21
False,False,False,True,False,JetBlue Airways,37,0,37
False,False,False,True,False,PSA Airlines,60,0,60
False,False,False,True,False,Republic Airways,37,0,37
False,False,False,True,False,SkyWest Airlines,215,0,215
False,False,False,True,False,Southwest Airlines,431,0,431
False,False,False,True,False,Spirit Airlines,138,0,138
False,False,False,True,False,United Airlines,5,0,5
False,False,False,True,True,Alaska Airlines,81,0,81
False,False,False,True,True,Allegiant Air,56,0,56
False,False,False,True,True,American Airlines,710,0,710
False,False,False,True,True,Delta Air Lines,20,0,20
False,False,False,True,True,Endeavor Air,7,0,7
False,False,False,True,True,Envoy Air,98,0,98
False,False,False,True,True,Hawaiian Airlines,7,0,7
False,False,False,True,True,JetBlue Airways,117,0,117
False,False,False,True,True,PSA Airlines,176,0,176
False,False,False,True,True,Republic Airways,18,0,18
False,False,False,True,True,Southwest Airlines,607,0,607
False,False,False,True,True,Spirit Airlines,11,0,11
False,False,False,True,True,United Airlines,11,0,11
False,False,True,False,False,Alaska Airlines,13558,0,13558
False,False,True,False,False,Allegiant Air,3592,0,3592
False,False,True,False,False,American Airlines,29637,0,29637
False,False,True,False,False,Delta Air Lines,33782,0,33782
False,False,True,False,False,Endeavor Air,6345,0,6345
False,False,True,False,False,Envoy Air,9107,0,9107
False,False,True,False,False,Frontier Airlines,8718,0,8718
False,False,True,False,False,Hawaiian Airlines,174,0,174
False,False,True,False,False,JetBlue Airways,9880,0,9880
False,False,True,False,False,PSA Airlines,6917,0,6917
False,False,True,False,False,Republic Airways,13207,0,13207
False,False,True,False,False,SkyWest Airlines,14492,0,14492
False,False,True,False,False,Southwest Airlines,31821,0,31821
False,False,True,False,False,Spirit Airlines,17534,0,17534
False,False,True,False,False,United Airlines,36432,0,36432
False,False,True,False,True,Alaska Airlines,8219,0,8219
False,False,True,False,True,Allegiant Air,3977,0,3977
False,False,True,False,True,American Airlines,22588,0,22588
False,False,True,False,True,Delta Air Lines,14230,0,14230
False,False,True,False,True,Endeavor Air,4508,0,4508
False,False,True,False,True,Envoy Air,6729,0,6729
False,False,True,False,True,Frontier Airlines,8063,0,8063
