month,carrier_name,is_late,cancelled,flight_number
1,Alaska Airlines,3882,3119,17775
1,Allegiant Air,1816,193,8596
1,American Airlines,21696,1248,77346
1,Delta Air Lines,13438,478,74384
1,Endeavor Air,3673,706,16972
1,Envoy Air,5283,932,20750
1,Frontier Airlines,3720,311,14379
1,Hawaiian Airlines,1658,96,6576
1,JetBlue Airways,5405,334,19580
1,PSA Airlines,3834,944,16526
1,Republic Airways,3609,1061,22914
1,SkyWest Airlines,12744,2384,56814
1,Southwest Airlines,25311,3566,115389
1,Spirit Airlines,5118,303,20415
1,United Airlines,11321,4714,58855
2,Alaska Airlines,2724,137,16863
2,Allegiant Air,1450,12,8486
2,American Airlines,13426,125,74870
2,Delta Air Lines,7635,97,71218
2,Endeavor Air,1535,233,15656
2,Envoy Air,2330,41,20117
2,Frontier Airlines,2718,35,14157
2,Hawaiian Airlines,1072,68,6067
2,JetBlue Airways,4519,267,19235
2,PSA Airlines,2035,35,15655
2,Republic Airways,1580,304,21602
2,SkyWest Airlines,8492,709,53325
2,Southwest Airlines,16432,466,105207
2,Spirit Airlines,4103,138,19929
2,United Airlines,8738,335,56834
3,Alaska Airlines,4104,143,19639
3,Allegiant Air,2510,71,11031
3,American Airlines,21372,892,82259
3,Delta Air Lines,13037,111,82668
3,Endeavor Air,1993,14,17062
3,Envoy Air,4226,292,22725
3,Frontier Airlines,5230,463,17324
3,Hawaiian Airlines,726,36,6455
3,JetBlue Airways,6304,309,21565
3,PSA Airlines,2745,61,17364
3,Republic Airways,2018,60,24348
3,SkyWest Airlines,8837,771,56241
3,Southwest Airlines,26991,1170,125272
3,Spirit Airlines,6330,394,22885
3,United Airlines,11675,333,64929
4,Alaska Airlines,3862,108,19430
4,Allegiant Air,1218,43,9271
4,American Airlines,18801,787,81216
4,Delta Air Lines,12424,117,82832
4,Endeavor Air,2038,158,16964
4,Envoy Air,4213,350,23148
4,Frontier Airlines,4862,286,17081
4,Hawaiian Airlines,881,82,6375
4,JetBlue Airways,4286,288,20124
4,PSA Airlines,3848,130,18611
4,Republic Airways,2758,220,23863
4,SkyWest Airlines,9312,400,59669
4,Southwest Airlines,22726,482,120579
4,Spirit Airlines,3703,239,21998
4,United Airlines,11209,345,61044
5,Alaska Airlines,4885,117,21257
5,Allegiant Air,1918,35,9567
5,American Airlines,30038,3005,86765
5,Delta Air Lines,18092,163,88381
5,Endeavor Air,2486,203,16310
5,Envoy Air,7621,790,24488
5,Frontier Airlines,6118,488,18647
5,Hawaiian Airlines,1284,168,6652
5,JetBlue Airways,5114,104,21246
5,PSA Airlines,5170,179,18822
5,Republic Airways,3786,284,25551
5,SkyWest Airlines,12250,848,62107
5,Southwest Airlines,32810,828,122496
5,Spirit Airlines,6055,259,23298
5,United Airlines,16210,773,64156
6,Alaska Airlines,5350,153,22166
6,Allegiant Air,2982,146,12229
6,American Airlines,26161,1942,85581
6,Delta Air Lines,17015,191,89065
6,Endeavor Air,3073,542,16692
6,Envoy Air,6795,407,25111
6,Frontier Airlines,6374,655,18646
6,Hawaiian Airlines,972,45,6597
6,JetBlue Airways,5293,490,19903
6,PSA Airlines,3239,215,18526
6,Republic Airways,3691,773,24504
6,SkyWest Airlines,13323,530,61853
6,Southwest Airlines,30620,406,123817
6,Spirit Airlines,6029,600,23437
6,United Airlines,14570,781,63005
7,Alaska Airlines,5881,220,23884
7,Allegiant Air,3576,415,12861
7,American Airlines,31900,2208,88291
7,Delta Air Lines,25106,6053,92296
7,Endeavor Air,4460,1390,17257
7,Envoy Air,7232,280,26111
7,Frontier Airlines,6370,878,19432
7,Hawaiian Airlines,950,55,6820
7,JetBlue Airways,6020,234,20182
7,PSA Airlines,6381,773,20078
7,Republic Airways,5424,719,25613
7,SkyWest Airlines,13208,568,63914
7,Southwest Airlines,35003,849,127642
7,Spirit Airlines,8142,1278,24769
7,United Airlines,17590,2452,65463
8,Alaska Airlines,5530,261,23265
8,Allegiant Air,2209,199,9244
8,American Airlines,25215,2461,85963
8,Delta Air Lines,16660,717,90397
8,Endeavor Air,3226,1186,17102
8,Envoy Air,4953,191,25925
8,Frontier Airlines,5762,615,18812
8,Hawaiian Airlines,745,104,6829
8,JetBlue Airways,6894,916,20498
8,PSA Airlines,4861,629,20730
8,Republic Airways,4673,1841,25916
8,SkyWest Airlines,12781,279,65390
8,Southwest Airlines,22924,1006,118338
8,Spirit Airlines,6876,977,24676
8,United Airlines,14423,1332,65939
9,Alaska Airlines,4134,140,21548
9,Allegiant Air,1109,157,6889
9,American Airlines,14942,546,80709
9,Delta Air Lines,10417,330,84545
9,Endeavor Air,1464,109,15868
9,Envoy Air,3446,140,23598
9,Frontier Airlines,3990,287,17491
9,Hawaiian Airlines,600,31,6450
9,JetBlue Airways,3160,76,18350
9,PSA Airlines,4001,419,19944
9,Republic Airways,2445,85,25425
9,SkyWest Airlines,9549,109,64633
9,Southwest Airlines,15454,493,112561
9,Spirit Airlines,3387,236,20399
9,United Airlines,8084,341,64212
10,Alaska Airlines,3277,174,20503
10,Allegiant Air,1254,588,9195
10,American Airlines,13052,766,86812
10,Delta Air Lines,8037,799,88300
10,Endeavor Air,1277,0,16841
10,Envoy Air,2387,64,23564
10,Frontier Airlines,4061,555,17801
10,Hawaiian Airlines,786,73,6583
10,JetBlue Airways,2610,489,19694
10,PSA Airlines,3059,104,21146
10,Republic Airways,2084,34,27159
10,SkyWest Airlines,9558,120,69069
10,Southwest Airlines,14930,1546,119251
10,Spirit Airlines,2974,421,21176
10,United Airlines,7639,551,68403
11,Alaska Airlines,3114,115,19462
11,Allegiant Air,1323,5,8757
11,American Airlines,12045,491,76757
11,Delta Air Lines,8805,24,81825
11,Endeavor Air,1494,4,16019
11,Envoy Air,2705,198,21834
11,Frontier Airlines,3781,151,17559
11,Hawaiian Airlines,628,29,6427
11,JetBlue Airways,2897,0,19134
11,PSA Airlines,2509,32,19666
11,Republic Airways,3234,26,27291
11,SkyWest Airlines,11316,923,65042
11,Southwest Airlines,13662,386,112591
11,Spirit Airlines,2668,55,19459
11,United Airlines,10510,190,63581
12,Alaska Airlines,4143,124,20027
12,Allegiant Air,2841,154,11084
12,American Airlines,16854,781,77737
12,Delta Air Lines,15751,67,83283
12,Endeavor Air,3266,63,17351
12,Envoy Air,4298,300,22584
12,Frontier Airlines,4062,111,17294
12,Hawaiian Airlines,991,35,6699
12,JetBlue Airways,6135,228,20771
12,PSA Airlines,5499,230,20903
12,Republic Airways,4799,169,27279
12,SkyWest Airlines,13876,886,66601
12,Southwest Airlines,21660,574,116276
12,Spirit Airlines,4028,98,18662
12,United Airlines,11492,331,64030
