week_number,carrier_name,is_late,cancelled,flight_number
1,Alaska Airlines,1031,331,5910
1,Allegiant Air,910,44,3797
1,American Airlines,4490,38,22371
1,Delta Air Lines,2380,8,20831
1,Endeavor Air,439,22,4323
1,Envoy Air,964,24,6292
1,Frontier Airlines,1203,34,4803
1,Hawaiian Airlines,338,27,1959
1,JetBlue Airways,1826,109,6089
1,PSA Airlines,796,25,4985
1,Republic Airways,490,44,5634
1,SkyWest Airlines,2775,74,16576
1,Southwest Airlines,7021,142,36056
1,Spirit Airlines,1584,29,6290
1,United Airlines,2372,372,17699
2,Alaska Airlines,1127,955,3918
2,Allegiant Air,444,103,1771
2,American Airlines,6603,498,17272
2,Delta Air Lines,4277,242,16299
2,Endeavor Air,1012,184,3855
2,Envoy Air,1785,418,4609
2,Frontier Airlines,1088,123,3435
2,Hawaiian Airlines,521,22,1489
2,JetBlue Airways,1326,112,4408
2,PSA Airlines,907,197,3702
2,Republic Airways,886,287,5387
2,SkyWest Airlines,3596,988,12751
2,Southwest Airlines,7712,1375,25371
2,Spirit Airlines,1567,153,4744
2,United Airlines,3371,1638,13187
3,Alaska Airlines,884,978,3866
3,Allegiant Air,422,54,1757
3,American Airlines,5781,639,17582
3,Delta Air Lines,4460,211,17442
3,Endeavor Air,1327,393,3979
3,Envoy Air,1201,285,4678
3,Frontier Airlines,1027,156,3167
3,Hawaiian Airlines,351,21,1469
3,JetBlue Airways,1593,98,4317
3,PSA Airlines,1269,531,3756
3,Republic Airways,1595,665,5469
3,SkyWest Airlines,3889,837,13003
3,Southwest Airlines,6599,1618,25372
3,Spirit Airlines,1207,107,4448
3,United Airlines,3488,1630,13191
4,Alaska Airlines,708,756,3868
4,Allegiant Air,251,26,1730
4,American Airlines,4559,68,17609
4,Delta Air Lines,2371,18,17475
4,Endeavor Air,825,109,3970
4,Envoy Air,1330,209,4678
4,Frontier Airlines,598,25,3027
4,Hawaiian Airlines,333,12,1464
4,JetBlue Airways,728,11,4300
4,PSA Airlines,893,192,3756
4,Republic Airways,513,61,5501
4,SkyWest Airlines,2699,474,13015
4,Southwest Airlines,4583,440,25372
4,Spirit Airlines,777,13,4456
4,United Airlines,2171,1067,13232
5,Alaska Airlines,950,172,3864
5,Allegiant Air,256,3,1737
5,American Airlines,2907,16,17599
5,Delta Air Lines,1659,5,16616
5,Endeavor Air,321,0,3809
5,Envoy Air,519,15,4656
5,Frontier Airlines,508,4,3018
5,Hawaiian Airlines,351,17,1443
5,JetBlue Airways,650,11,4312
5,PSA Airlines,449,1,3756
5,Republic Airways,321,4,5360
5,SkyWest Airlines,1996,423,12978
5,Southwest Airlines,3874,312,25372
5,Spirit Airlines,736,29,4456
5,United Airlines,2120,146,13272
6,Alaska Airlines,446,14,3876
6,Allegiant Air,177,0,1742
6,American Airlines,3126,41,17598
6,Delta Air Lines,1375,5,16633
6,Endeavor Air,227,0,3733
6,Envoy Air,626,1,4624
6,Frontier Airlines,413,0,3032
6,Hawaiian Airlines,158,18,1467
6,JetBlue Airways,602,18,4295
6,PSA Airlines,398,1,3800
6,Republic Airways,189,0,5186
6,SkyWest Airlines,2207,78,12829
6,Southwest Airlines,3598,42,25393
6,Spirit Airlines,732,3,4492
6,United Airlines,1585,27,13342
7,Alaska Airlines,606,20,4042
7,Allegiant Air,526,6,2088
7,American Airlines,3352,47,17867
7,Delta Air Lines,2207,84,16780
7,Endeavor Air,471,190,3605
7,Envoy Air,514,18,4794
7,Frontier Airlines,883,24,3512
7,Hawaiian Airlines,436,30,1468
7,JetBlue Airways,1486,200,4653
7,PSA Airlines,670,32,3755
7,Republic Airways,522,286,5155
7,SkyWest Airlines,2094,107,12545
7,Southwest Airlines,3900,85,25367
7,Spirit Airlines,1336,88,4798
7,United Airlines,2250,140,13693
8,Alaska Airlines,637,25,4254
8,Allegiant Air,340,2,2304
8,American Airlines,2863,8,18509
8,Delta Air Lines,1662,2,17955
8,Endeavor Air,252,0,3887
8,Envoy Air,454,0,5066
8,Frontier Airlines,645,6,3722
8,Hawaiian Airlines,198,14,1472
8,JetBlue Airways,1204,26,4952
8,PSA Airlines,389,0,3766
8,Republic Airways,268,0,5238
8,SkyWest Airlines,1641,25,12995
8,Southwest Airlines,3324,20,25337
8,Spirit Airlines,952,11,5012
8,United Airlines,1693,27,14067
9,Alaska Airlines,965,37,4255
9,Allegiant Air,492,2,2204
9,American Airlines,4025,24,18557
9,Delta Air Lines,2699,12,17882
9,Endeavor Air,540,43,3894
9,Envoy Air,640,12,5104
9,Frontier Airlines,978,19,3723
9,Hawaiian Airlines,182,7,1470
9,JetBlue Airways,1501,29,4930
9,PSA Airlines,615,2,3772
9,Republic Airways,589,18,5205
9,SkyWest Airlines,2247,331,13007
9,Southwest Airlines,5089,80,25331
9,Spirit Airlines,1381,91,5013
9,United Airlines,2785,76,14079
10,Alaska Airlines,853,23,4274
10,Allegiant Air,543,41,2338
10,American Airlines,5378,433,18555
10,Delta Air Lines,2599,13,18054
10,Endeavor Air,418,2,3890
10,Envoy Air,1204,113,5127
10,Frontier Airlines,1069,134,3765
10,Hawaiian Airlines,169,13,1455
10,JetBlue Airways,1317,69,4878
10,PSA Airlines,703,29,3920
10,Republic Airways,450,12,5411
10,SkyWest Airlines,1826,39,12636
10,Southwest Airlines,6299,445,27422
10,Spirit Airlines,1267,187,5080
10,United Airlines,2565,73,14559
11,Alaska Airlines,921,23,4444
11,Allegiant Air,626,12,2516
11,American Airlines,4633,112,18636
11,Delta Air Lines,2697,1,19032
11,Endeavor Air,490,0,3880
11,Envoy Air,1027,124,5132
11,Frontier Airlines,1103,194,3939
11,Hawaiian Airlines,161,6,1431
11,JetBlue Airways,1259,88,4868
11,PSA Airlines,585,18,3954
11,Republic Airways,549,14,5603
11,SkyWest Airlines,1768,334,12617
11,Southwest Airlines,6652,539,29018
11,Spirit Airlines,1498,54,5186
11,United Airlines,2767,148,14841
12,Alaska Airlines,748,31,4547
12,Allegiant Air,594,13,2528
12,American Airlines,4735,293,18635
12,Delta Air Lines,3027,60,19009
12,Endeavor Air,551,12,3872
12,Envoy Air,955,45,5132
12,Frontier Airlines,1223,48,3957
12,Hawaiian Airlines,221,12,1468
12,JetBlue Airways,1490,106,4880
12,PSA Airlines,553,14,3954
12,Republic Airways,455,32,5603
12,SkyWest Airlines,1982,105,12714
12,Southwest Airlines,6016,50,29018
12,Spirit Airlines,1356,25,5200
12,United Airlines,2559,39,14833
13,Alaska Airlines,1021,44,4530
13,Allegiant Air,451,5,2521
13,American Airlines,4681,52,18543
13,Delta Air Lines,3349,27,19021
13,Endeavor Air,417,0,3872
13,Envoy Air,787,6,5136
13,Frontier Airlines,1277,69,3983
13,Hawaiian Airlines,88,3,1465
13,JetBlue Airways,1600,34,4876
13,PSA Airlines,595,0,3954
13,Republic Airways,453,2,5616
13,SkyWest Airlines,2173,72,12745
13,Southwest Airlines,5371,83,28999
13,Spirit Airlines,1347,45,5213
13,United Airlines,2621,30,14754
14,Alaska Airlines,949,45,4516
14,Allegiant Air,396,0,2463
14,American Airlines,4110,243,18791
14,Delta Air Lines,3472,98,18962
14,Endeavor Air,562,137,3770
14,Envoy Air,883,25,5299
14,Frontier Airlines,1092,79,4013
14,Hawaiian Airlines,150,14,1500
14,JetBlue Airways,1331,224,4717
14,PSA Airlines,881,24,4199
14,Republic Airways,1003,213,5545
14,SkyWest Airlines,2365,149,13898
14,Southwest Airlines,5193,152,29006
14,Spirit Airlines,1091,129,5196
14,United Airlines,2897,164,14264
15,Alaska Airlines,822,31,4556
15,Allegiant Air,401,36,2199
15,American Airlines,5121,152,19024
15,Delta Air Lines,3553,6,19188
15,Endeavor Air,594,21,3972
15,Envoy Air,1062,66,5442
15,Frontier Airlines,1224,67,3976
15,Hawaiian Airlines,293,28,1490
15,JetBlue Airways,1296,56,4670
15,PSA Airlines,1108,35,4389
15,Republic Airways,725,6,5499
15,SkyWest Airlines,1954,52,13887
15,Southwest Airlines,5826,118,27885
15,Spirit Airlines,945,75,5118
15,United Airlines,2686,56,14270
16,Alaska Airlines,1089,21,4526
16,Allegiant Air,168,2,2098
16,American Airlines,4633,365,19022
16,Delta Air Lines,2613,11,19453
16,Endeavor Air,435,0,3988
16,Envoy Air,874,189,5442
16,Frontier Airlines,1011,75,3958
16,Hawaiian Airlines,230,20,1482
16,JetBlue Airways,861,5,4690
16,PSA Airlines,1016,49,4387
16,Republic Airways,482,0,5536
16,SkyWest Airlines,2174,107,13933
16,Southwest Airlines,5732,87,27779
16,Spirit Airlines,772,22,5106
16,United Airlines,2661,65,14198
17,Alaska Airlines,843,10,4548
17,Allegiant Air,216,5,2041
