month,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
1,"Aberdeen, SD",4,2,2,0,0,6,3,61
1,"Abilene, TX",12,12,22,0,23,34,1,151
1,"Adak Island, AK",0,0,0,0,1,1,3,9
1,"Aguadilla, PR",49,1,20,0,39,60,1,227
1,"Akron, OH",40,14,49,0,36,86,16,270
1,"Albany, GA",8,2,1,0,0,10,0,62
1,"Albany, NY",144,25,99,2,136,229,23,864
1,"Albuquerque, NM",221,27,143,3,225,370,33,1807
1,"Alexandria, LA",16,10,11,0,8,29,8,155
1,"Allentown/Bethlehem/Easton, PA",33,9,20,0,33,57,10,349
1,"Alpena, MI",10,4,8,0,0,15,13,51
1,"Amarillo, TX",52,6,39,0,67,95,18,396
1,"Anchorage, AK",146,24,164,22,169,327,105,1130
1,"Appleton, WI",77,21,56,0,36,129,22,461
1,"Arcata/Eureka, CA",17,5,16,0,9,35,3,149
1,"Asheville, NC",72,17,81,2,84,158,17,853
1,"Ashland, WV",3,0,0,0,1,3,0,20
1,"Aspen, CO",148,35,162,0,50,292,55,968
1,"Atlanta, GA",2568,569,3041,24,2501,5233,311,26294
1,"Atlantic City, NJ",31,2,36,3,18,45,5,262
1,"Augusta, GA",43,14,21,0,23,67,6,250
1,"Austin, TX",979,108,1113,17,945,1728,216,6690
1,"Bakersfield, CA",15,3,11,0,17,26,0,180
1,"Baltimore, MD",899,65,804,27,1027,1559,294,7552
1,"Bangor, ME",19,6,27,0,22,45,19,241
1,"Barrow, AK",6,0,2,0,4,7,7,30
1,"Baton Rouge, LA",59,17,51,1,44,106,15,387
1,"Beaumont/Port Arthur, TX",4,4,6,0,5,13,2,62
1,"Belleville, IL",7,1,5,0,10,13,2,60
1,"Bellingham, WA",15,4,21,0,23,39,1,205
1,"Bemidji, MN",10,5,5,0,0,15,0,61
1,"Bend/Redmond, OR",58,27,71,2,26,113,41,491
1,"Bethel, AK",7,2,8,0,6,16,2,60
1,"Billings, MT",33,8,29,0,26,56,3,277
1,"Binghamton, NY",4,4,6,0,3,9,5,32
1,"Birmingham, AL",180,31,156,4,184,314,41,1310
1,"Bishop, CA",5,1,3,0,7,14,2,54
1,"Bismarck/Mandan, ND",28,10,17,0,11,50,10,277
1,"Bloomington/Normal, IL",15,10,18,0,15,31,9,143
1,"Boise, ID",223,43,182,0,141,356,24,1594
1,"Boston, MA",1470,168,1256,8,1409,2464,335,10126
1,"Bozeman, MT",124,21,89,0,82,184,24,839
1,"Brainerd, MN",8,3,2,0,0,11,0,52
1,"Bristol/Johnson City/Kingsport, TN",28,8,16,0,20,42,4,191
1,"Brownsville, TX",7,4,10,0,11,20,3,111
1,"Brunswick, GA",21,5,6,0,0,27,0,62
1,"Buffalo, NY",227,41,182,2,191,378,212,1581
1,"Burbank, CA",241,16,135,3,277,421,45,2330
1,"Burlington, VT",65,21,70,0,64,132,20,526
1,"Butte, MT",7,1,2,0,0,8,0,56
1,"Casper, WY",2,1,2,0,2,5,0,63
1,"Cedar City, UT",5,1,4,0,0,6,0,52
1,"Cedar Rapids/Iowa City, IA",74,33,68,1,65,146,61,586
1,"Champaign/Urbana, IL",10,13,16,0,26,34,15,123
1,"Charleston, SC",218,41,222,2,228,388,39,1751
1,"Charleston/Dunbar, WV",44,18,18,2,22,78,19,261
1,"Charlotte Amalie, VI",61,11,59,1,31,96,0,553
1,"Charlotte, NC",1741,435,1968,34,2167,3722,319,16382
1,"Charlottesville, VA",28,5,21,0,23,47,15,236
1,"Chattanooga, TN",44,20,62,0,64,112,19,472
1,"Cheyenne, WY",1,1,1,0,4,6,2,57
1,"Chicago, IL",3029,561,3287,47,3026,6011,1978,26209
1,"Christiansted, VI",20,3,21,0,13,32,0,146
1,"Cincinnati, OH",351,59,341,4,387,665,74,3112
1,"Clarksburg/Fairmont, WV",1,0,2,0,2,3,0,15
1,"Cleveland, OH",433,71,334,6,410,738,169,3104
1,"College Station/Bryan, TX",3,5,7,0,4,12,4,93
1,"Colorado Springs, CO",124,12,86,4,143,222,11,955
1,"Columbia, MO",8,11,14,0,14,26,19,131
1,"Columbia, SC",67,18,52,0,69,124,18,488
1,"Columbus, GA",26,2,9,0,1,29,2,82
1,"Columbus, MS",6,2,6,0,8,12,6,62
1,"Columbus, OH",444,56,371,6,428,734,81,3226
1,"Concord, NC",5,0,8,0,8,11,0,68
1,"Cordova, AK",4,0,8,0,14,20,2,60
1,"Corpus Christi, TX",25,11,47,0,51,70,7,317
1,"Dallas, TX",748,30,785,9,862,1288,234,6037
1,"Dallas/Fort Worth, TX",3139,1069,4255,66,3654,6886,694,23588
1,"Dayton, OH",60,24,69,0,57,124,16,578
1,"Daytona Beach, FL",18,4,14,0,20,35,2,201
1,"Deadhorse, AK",4,1,7,0,4,10,6,46
1,"Decatur, IL",11,0,6,0,4,18,13,83
1,"Denver, CO",2387,293,2227,23,2425,4375,1028,23357
1,"Des Moines, IA",171,33,187,0,203,342,93,1255
1,"Detroit, MI",1199,323,1168,9,936,2268,311,9470
1,"Devils Lake, ND",1,0,0,0,0,1,7,56
1,"Dickinson, ND",5,0,2,0,1,6,4,53
1,"Dodge City, KS",3,1,5,0,2,6,8,53
1,"Dothan, AL",11,1,6,0,9,18,0,62
1,"Duluth, MN",26,13,24,0,8,46,7,150
1,"Durango, CO",34,7,19,0,22,57,3,273
1,"Eagle, CO",81,17,107,0,49,167,4,634
1,"El Paso, TX",146,27,116,6,200,272,19,1283
1,"Elko, NV",2,1,2,0,0,3,1,31
1,"Elmira/Corning, NY",17,8,11,0,0,24,2,76
1,"Escanaba, MI",7,2,3,0,0,9,3,52
1,"Eugene, OR",75,11,59,0,48,121,83,588
1,"Evansville, IN",20,8,13,0,17,36,4,152
1,"Everett, WA",10,0,15,0,22,29,28,114
1,"Fairbanks, AK",28,2,25,1,18,48,11,193
1,"Fargo, ND",63,20,50,0,53,115,14,531
1,"Fayetteville, AR",97,41,154,3,114,229,31,977
1,"Fayetteville, NC",9,8,15,0,9,22,1,123
1,"Flagstaff, AZ",10,7,3,0,1,16,0,110
1,"Flint, MI",23,7,21,0,34,51,6,160
1,"Fort Dodge, IA",2,2,4,0,10,14,6,52
1,"Fort Lauderdale, FL",1224,165,1675,26,1094,2329,267,8447
1,"Fort Myers, FL",534,87,759,6,482,1057,144,3842
1,"Fort Smith, AR",9,7,7,0,10,20,10,93
1,"Fort Wayne, IN",35,10,26,0,29,68,19,312
