month,origin_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
1,"Aberdeen, SD",5,2,1,0,0,6,4,61
1,"Abilene, TX",6,12,17,0,20,33,2,151
1,"Adak Island, AK",0,0,2,2,0,2,3,9
1,"Aguadilla, PR",21,1,27,0,34,46,1,229
1,"Akron, OH",27,5,35,0,28,61,12,269
1,"Albany, GA",8,2,3,0,0,10,0,62
1,"Albany, NY",76,19,132,2,92,182,22,863
1,"Albuquerque, NM",135,36,169,0,198,320,33,1808
1,"Alexandria, LA",17,9,23,1,11,41,8,155
1,"Allentown/Bethlehem/Easton, PA",32,8,46,1,32,75,11,349
1,"Alpena, MI",5,6,4,0,0,12,13,51
1,"Amarillo, TX",29,6,53,1,50,90,19,397
1,"Anchorage, AK",106,30,138,0,114,267,102,1130
1,"Appleton, WI",61,29,67,0,22,127,27,461
1,"Arcata/Eureka, CA",5,4,15,0,11,29,3,148
1,"Asheville, NC",86,16,107,2,89,181,16,853
1,"Ashland, WV",3,0,3,0,3,5,0,20
1,"Aspen, CO",74,64,143,16,94,290,107,971
1,"Atlanta, GA",3338,401,2728,11,2084,5239,272,26315
1,"Atlantic City, NJ",13,3,47,0,13,50,5,262
1,"Augusta, GA",44,21,32,0,19,81,4,248
1,"Austin, TX",855,110,817,17,1023,1589,224,6692
1,"Bakersfield, CA",13,2,10,0,7,22,0,179
1,"Baltimore, MD",1356,114,1197,7,1224,2070,274,7551
1,"Bangor, ME",13,2,22,0,17,34,23,240
1,"Barrow, AK",0,3,4,2,7,9,8,30
1,"Baton Rouge, LA",41,24,51,3,45,99,16,385
1,"Beaumont/Port Arthur, TX",9,6,4,0,6,15,2,62
1,"Belleville, IL",7,1,8,0,11,12,2,60
1,"Bellingham, WA",23,10,23,0,13,41,2,204
1,"Bemidji, MN",13,5,9,0,0,18,0,61
1,"Bend/Redmond, OR",50,58,83,2,32,129,47,490
1,"Bethel, AK",2,1,14,17,14,23,2,60
1,"Billings, MT",24,19,47,0,21,65,4,278
1,"Binghamton, NY",1,0,6,0,2,7,5,32
1,"Birmingham, AL",98,28,122,0,163,262,46,1306
1,"Bishop, CA",2,0,4,0,6,11,2,54
1,"Bismarck/Mandan, ND",35,13,32,1,18,65,10,277
1,"Bloomington/Normal, IL",12,8,30,0,21,44,11,143
1,"Boise, ID",170,68,243,1,168,388,27,1597
1,"Boston, MA",1343,300,1533,8,958,2380,325,10134
1,"Bozeman, MT",71,31,101,0,104,190,26,841
1,"Brainerd, MN",9,3,2,0,0,12,0,52
1,"Bristol/Johnson City/Kingsport, TN",17,4,20,0,20,40,5,192
1,"Brownsville, TX",6,3,10,1,14,19,3,111
1,"Brunswick, GA",15,7,8,0,0,23,0,62
1,"Buffalo, NY",170,63,303,0,188,395,225,1579
1,"Burbank, CA",144,13,194,0,200,378,48,2330
1,"Burlington, VT",51,12,70,0,52,111,24,525
1,"Butte, MT",3,3,2,0,0,6,0,56
1,"Casper, WY",4,1,1,0,1,6,0,64
1,"Cedar City, UT",3,5,3,0,0,8,0,52
1,"Cedar Rapids/Iowa City, IA",80,52,93,0,81,185,63,586
1,"Champaign/Urbana, IL",9,11,11,0,13,28,16,123
1,"Charleston, SC",151,16,174,1,206,331,51,1753
1,"Charleston/Dunbar, WV",45,19,53,1,26,88,15,260
1,"Charlotte Amalie, VI",45,3,86,0,75,125,2,553
1,"Charlotte, NC",2276,704,1992,108,2574,4249,301,16378
1,"Charlottesville, VA",21,5,40,0,14,47,18,236
1,"Chattanooga, TN",47,20,55,1,69,114,24,471
1,"Cheyenne, WY",2,0,0,0,1,3,4,57
1,"Chicago, IL",3589,1249,4323,15,3490,7352,1911,26207
1,"Christiansted, VI",13,0,36,11,28,43,0,146
1,"Cincinnati, OH",259,64,380,0,251,600,74,3111
1,"Clarksburg/Fairmont, WV",0,0,1,0,1,2,0,15
1,"Cleveland, OH",348,57,411,2,356,691,169,3107
1,"College Station/Bryan, TX",8,6,8,0,7,19,5,93
1,"Colorado Springs, CO",80,7,97,0,82,180,13,956
1,"Columbia, MO",10,13,22,0,12,34,20,131
1,"Columbia, SC",28,5,46,0,56,85,18,486
1,"Columbus, GA",22,4,13,0,1,27,2,82
1,"Columbus, MS",1,1,5,0,8,10,6,62
1,"Columbus, OH",242,39,389,2,261,598,89,3225
1,"Concord, NC",6,0,3,0,10,14,0,68
1,"Cordova, AK",1,1,13,0,13,15,2,60
1,"Corpus Christi, TX",13,13,40,0,46,66,7,317
1,"Dallas, TX",892,26,556,4,963,1313,213,6037
1,"Dallas/Fort Worth, TX",3853,1243,3445,18,3913,6744,654,23570
1,"Dayton, OH",51,6,72,0,61,126,14,577
1,"Daytona Beach, FL",14,2,6,0,17,26,2,201
1,"Deadhorse, AK",0,0,2,0,6,5,6,46
1,"Decatur, IL",3,0,7,0,9,15,13,83
1,"Denver, CO",3724,293,2551,136,3088,5603,991,23361
1,"Des Moines, IA",183,72,233,4,157,366,101,1252
1,"Detroit, MI",1476,525,1702,6,732,2744,324,9473
1,"Devils Lake, ND",1,1,0,0,1,3,9,56
1,"Dickinson, ND",3,1,2,0,3,7,4,53
1,"Dodge City, KS",1,2,6,0,4,8,8,52
1,"Dothan, AL",4,2,13,0,5,15,0,62
1,"Duluth, MN",25,12,13,0,7,44,5,150
1,"Durango, CO",34,8,36,0,28,68,3,273
1,"Eagle, CO",120,12,119,0,124,208,7,633
1,"El Paso, TX",101,20,87,0,143,206,22,1286
1,"Elko, NV",2,1,2,0,0,3,1,31
1,"Elmira/Corning, NY",19,6,11,0,2,26,1,76
1,"Escanaba, MI",8,1,3,0,0,9,3,52
1,"Eugene, OR",60,22,45,1,40,113,89,588
1,"Evansville, IN",16,6,23,0,21,43,4,152
1,"Everett, WA",5,2,15,0,4,17,26,112
1,"Fairbanks, AK",13,5,26,0,25,48,12,194
1,"Fargo, ND",43,22,56,1,57,109,17,531
1,"Fayetteville, AR",72,91,215,5,121,285,33,979
1,"Fayetteville, NC",9,7,11,0,6,19,3,123
1,"Flagstaff, AZ",16,6,12,0,1,24,0,110
1,"Flint, MI",19,8,45,0,16,57,7,159
1,"Fort Dodge, IA",4,1,4,0,7,12,7,52
1,"Fort Lauderdale, FL",1658,55,1452,106,1334,2442,265,8460
1,"Fort Myers, FL",386,27,399,0,582,803,148,3839
1,"Fort Smith, AR",12,10,20,0,9,28,11,93
1,"Fort Wayne, IN",49,15,64,0,39,103,21,312
1,"Fresno, CA",74,16,62,3,74,155,8,871
1,"Gainesville, FL",17,0,6,0,17,24,5,205
