week_number,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
1,"Aberdeen, SD",2,1,2,0,0,3,0,16
1,"Abilene, TX",2,0,1,0,1,3,0,44
1,"Adak Island, AK",0,0,0,0,0,0,2,2
1,"Aguadilla, PR",13,0,10,0,12,22,0,81
1,"Akron, OH",11,1,12,0,13,23,1,88
1,"Albany, GA",0,0,0,0,0,0,0,18
1,"Albany, NY",43,3,17,1,23,53,7,257
1,"Albuquerque, NM",77,4,44,2,61,117,5,586
1,"Alexandria, LA",2,1,0,0,1,4,0,44
1,"Allentown/Bethlehem/Easton, PA",10,1,9,0,8,16,3,119
1,"Alpena, MI",3,0,1,0,0,3,0,14
1,"Amarillo, TX",14,1,10,0,18,25,4,126
1,"Anchorage, AK",48,3,40,4,27,74,16,337
1,"Appleton, WI",13,6,18,0,11,28,2,150
1,"Arcata/Eureka, CA",2,1,3,0,4,7,0,44
1,"Asheville, NC",14,2,30,0,30,47,2,286
1,"Ashland, WV",3,0,0,0,2,3,1,9
1,"Aspen, CO",61,10,85,0,14,132,5,315
1,"Atlanta, GA",575,35,496,13,451,976,15,7481
1,"Atlantic City, NJ",12,0,14,1,4,17,1,81
1,"Augusta, GA",2,1,1,0,1,4,0,60
1,"Austin, TX",297,15,310,11,279,506,10,2125
1,"Bakersfield, CA",8,0,4,0,3,9,0,62
1,"Baltimore, MD",267,5,226,8,266,418,30,2357
1,"Bangor, ME",5,0,7,0,2,11,0,68
1,"Barrow, AK",4,0,2,0,3,5,1,8
1,"Baton Rouge, LA",11,1,2,1,3,12,0,94
1,"Beaumont/Port Arthur, TX",0,0,1,0,0,1,0,18
1,"Belleville, IL",6,2,7,0,8,10,0,29
1,"Bellingham, WA",5,1,10,0,6,11,0,70
1,"Bemidji, MN",4,0,0,0,0,4,0,17
1,"Bend/Redmond, OR",16,10,19,0,6,29,4,143
1,"Bethel, AK",1,0,2,0,2,4,0,16
1,"Billings, MT",8,2,7,0,5,13,0,92
1,"Binghamton, NY",0,0,1,0,1,1,1,10
1,"Birmingham, AL",36,0,28,2,38,58,0,369
1,"Bishop, CA",0,1,1,0,3,4,0,18
1,"Bismarck/Mandan, ND",7,0,2,0,0,7,0,90
1,"Bloomington/Normal, IL",1,0,0,0,0,1,0,43
1,"Boise, ID",51,4,40,0,41,82,2,502
1,"Boston, MA",386,18,386,4,352,653,77,2819
1,"Bozeman, MT",31,0,14,0,22,42,1,290
1,"Brainerd, MN",3,1,1,0,0,4,0,14
1,"Bristol/Johnson City/Kingsport, TN",7,2,2,0,8,10,0,56
1,"Brownsville, TX",1,0,1,0,0,1,0,34
1,"Brunswick, GA",1,1,0,0,0,2,0,18
1,"Buffalo, NY",53,2,29,1,44,74,2,412
1,"Burbank, CA",101,4,71,2,125,177,11,793
1,"Burlington, VT",15,4,11,0,12,28,2,145
1,"Butte, MT",4,1,2,0,0,5,0,15
1,"Casper, WY",1,0,0,0,1,2,0,46
1,"Cedar City, UT",4,0,3,0,0,4,0,14
1,"Cedar Rapids/Iowa City, IA",20,2,15,0,11,33,0,192
1,"Champaign/Urbana, IL",2,2,3,0,5,7,0,34
1,"Charleston, SC",53,1,38,0,45,79,2,525
1,"Charleston/Dunbar, WV",8,1,2,1,7,13,1,64
1,"Charlotte Amalie, VI",20,1,13,0,8,26,0,174
1,"Charlotte, NC",442,28,430,14,473,822,19,4789
1,"Charlottesville, VA",3,1,5,0,3,7,1,48
1,"Chattanooga, TN",4,0,5,0,10,15,1,120
