week_number,origin_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
1,"Aberdeen, SD",2,1,0,0,0,3,0,16
1,"Abilene, TX",1,0,3,0,1,3,0,44
1,"Adak Island, AK",0,0,0,0,0,0,2,2
1,"Aguadilla, PR",8,1,11,0,17,21,0,82
1,"Akron, OH",11,1,9,0,8,18,1,87
1,"Albany, GA",0,1,1,0,0,1,0,18
1,"Albany, NY",28,3,34,1,31,54,7,256
1,"Albuquerque, NM",62,24,74,0,67,112,6,586
1,"Alexandria, LA",3,2,4,0,1,7,0,44
1,"Allentown/Bethlehem/Easton, PA",14,2,14,0,10,25,4,119
1,"Alpena, MI",1,0,0,0,0,1,0,14
1,"Amarillo, TX",5,0,12,1,10,18,4,126
1,"Anchorage, AK",22,6,25,0,23,50,18,338
1,"Appleton, WI",12,6,22,0,11,33,2,151
1,"Arcata/Eureka, CA",3,0,3,0,1,5,0,44
1,"Asheville, NC",31,4,36,2,36,65,3,286
1,"Ashland, WV",1,0,1,0,3,2,1,9
1,"Aspen, CO",30,26,60,6,38,126,10,315
1,"Atlanta, GA",666,22,544,4,386,1009,11,7508
1,"Atlantic City, NJ",4,1,16,0,2,18,1,82
1,"Augusta, GA",7,2,3,0,2,10,1,59
1,"Austin, TX",245,40,195,13,302,444,10,2130
1,"Bakersfield, CA",4,0,2,0,4,6,0,61
1,"Baltimore, MD",416,2,238,1,334,554,26,2355
1,"Bangor, ME",4,0,3,0,5,6,1,67
1,"Barrow, AK",1,1,2,1,5,5,1,8
1,"Baton Rouge, LA",7,1,9,1,5,15,0,95
1,"Beaumont/Port Arthur, TX",0,2,1,0,0,3,0,18
1,"Belleville, IL",4,0,3,0,6,6,0,29
1,"Bellingham, WA",6,1,2,0,1,7,0,70
1,"Bemidji, MN",4,1,2,0,0,4,1,17
1,"Bend/Redmond, OR",19,18,20,1,9,43,8,141
1,"Bethel, AK",0,0,3,3,4,5,0,16
1,"Billings, MT",6,6,16,0,7,20,0,93
1,"Binghamton, NY",1,0,4,0,1,4,1,10
1,"Birmingham, AL",30,0,27,0,31,63,0,365
1,"Bishop, CA",0,0,1,0,1,2,0,18
1,"Bismarck/Mandan, ND",7,2,8,1,4,12,0,91
1,"Bloomington/Normal, IL",2,1,5,0,1,6,0,43
1,"Boise, ID",37,4,47,0,46,80,4,504
1,"Boston, MA",342,82,341,3,263,576,79,2824
1,"Bozeman, MT",28,3,46,0,33,65,1,291
1,"Brainerd, MN",2,2,2,0,0,4,0,14
1,"Bristol/Johnson City/Kingsport, TN",2,0,1,0,7,6,0,57
1,"Brownsville, TX",2,1,1,0,1,3,0,34
1,"Brunswick, GA",2,1,1,0,0,4,0,18
1,"Buffalo, NY",50,3,74,0,43,97,0,411
1,"Burbank, CA",86,6,70,0,123,178,12,794
1,"Burlington, VT",14,3,15,0,9,22,0,145
1,"Butte, MT",1,2,1,0,0,3,0,15
1,"Casper, WY",2,0,2,0,1,3,0,46
1,"Cedar City, UT",0,4,3,0,0,4,0,14
1,"Cedar Rapids/Iowa City, IA",23,3,26,0,15,41,1,193
1,"Champaign/Urbana, IL",1,3,2,0,2,5,0,34
1,"Charleston, SC",43,1,34,0,41,71,4,527
1,"Charleston/Dunbar, WV",6,0,6,1,3,9,1,64
1,"Charlotte Amalie, VI",12,2,37,0,23,43,0,174
1,"Charlotte, NC",601,68,416,26,520,924,12,4783
1,"Charlottesville, VA",3,0,3,0,0,4,1,48
1,"Chattanooga, TN",7,1,8,0,7,13,1,120
1,"Cheyenne, WY",0,0,0,0,0,0,0,16
1,"Chicago, IL",804,90,876,4,679,1511,58,8091
1,"Christiansted, VI",5,0,17,7,11,17,0,46
1,"Cincinnati, OH",44,1,65,0,45,101,8,883
1,"Clarksburg/Fairmont, WV",0,0,0,0,1,1,0,6
1,"Cleveland, OH",82,1,78,1,85,151,5,883
1,"Cody, WY",0,0,0,0,0,0,0,4
1,"College Station/Bryan, TX",1,0,1,0,2,3,0,26
1,"Colorado Springs, CO",19,1,17,0,19,37,0,292
1,"Columbia, MO",3,2,8,0,2,10,0,42
1,"Columbia, SC",11,0,7,0,9,19,0,124
1,"Columbus, GA",3,1,2,0,0,4,0,18
1,"Columbus, MS",0,0,0,0,0,0,0,18
1,"Columbus, OH",55,4,62,0,55,118,3,931
1,"Concord, NC",6,0,4,0,8,11,0,29
1,"Cordova, AK",0,0,1,0,1,1,0,16
1,"Corpus Christi, TX",1,3,4,0,3,8,0,91
1,"Dallas, TX",241,3,113,2,242,333,12,1860
1,"Dallas/Fort Worth, TX",927,16,589,6,675,1266,12,7027
1,"Dayton, OH",7,0,7,0,10,18,1,147
1,"Daytona Beach, FL",4,0,0,0,3,5,0,59
1,"Deadhorse, AK",0,0,0,0,0,0,4,11
1,"Decatur, IL",0,0,2,0,2,3,0,21
1,"Denver, CO",1002,32,558,110,797,1446,53,7398
1,"Des Moines, IA",41,1,31,0,17,58,1,355
1,"Detroit, MI",249,15,285,2,123,425,6,2740
1,"Devils Lake, ND",0,0,0,0,0,0,2,15
1,"Dickinson, ND",1,0,1,0,2,3,0,17
1,"Dodge City, KS",2,1,2,0,1,3,0,14
