month,carrier_name,is_late,cancelled,flight_number
1,Alaska Airlines,6,4,25
1,Allegiant Air,2,0,11
1,American Airlines,27,3,93
1,Delta Air Lines,25,0,120
1,Endeavor Air,7,1,24
1,Envoy Air,7,1,30
1,Frontier Airlines,8,0,28
1,Hawaiian Airlines,1,0,8
1,JetBlue Airways,9,0,23
1,PSA Airlines,5,2,19
1,Republic Airways,3,0,31
1,SkyWest Airlines,17,1,85
1,Southwest Airlines,41,4,139
1,Spirit Airlines,6,0,24
1,United Airlines,15,4,84
2,Alaska Airlines,4,0,23
2,Allegiant Air,4,0,12
2,American Airlines,15,1,100
2,Delta Air Lines,5,0,110
2,Endeavor Air,2,0,21
2,Envoy Air,2,0,27
2,Frontier Airlines,4,0,21
2,Hawaiian Airlines,1,0,14
2,JetBlue Airways,5,0,27
2,PSA Airlines,5,0,17
2,Republic Airways,0,1,27
2,SkyWest Airlines,10,3,60
2,Southwest Airlines,28,1,148
2,Spirit Airlines,7,0,23
2,United Airlines,7,0,86
3,Alaska Airlines,6,0,21
3,Allegiant Air,4,1,17
3,American Airlines,39,0,119
3,Delta Air Lines,16,0,109
3,Endeavor Air,3,0,27
3,Envoy Air,5,0,31
3,Frontier Airlines,8,1,24
3,Hawaiian Airlines,1,0,5
3,JetBlue Airways,11,0,33
3,PSA Airlines,6,0,32
3,Republic Airways,2,0,36
3,SkyWest Airlines,14,0,78
3,Southwest Airlines,43,1,188
3,Spirit Airlines,10,1,30
3,United Airlines,12,0,86
4,Alaska Airlines,4,0,19
4,Allegiant Air,5,0,16
4,American Airlines,23,0,109
4,Delta Air Lines,28,0,121
4,Endeavor Air,1,0,23
4,Envoy Air,8,2,37
4,Frontier Airlines,9,0,18
4,Hawaiian Airlines,2,0,8
4,JetBlue Airways,6,0,27
4,PSA Airlines,7,0,31
4,Republic Airways,4,1,35
4,SkyWest Airlines,14,1,103
4,Southwest Airlines,34,2,193
4,Spirit Airlines,4,0,43
4,United Airlines,21,0,73
5,Alaska Airlines,3,0,31
5,Allegiant Air,5,0,16
