week_number,carrier_name,is_late,cancelled,flight_number
1,Alaska Airlines,2,1,10
1,Allegiant Air,1,0,4
1,American Airlines,4,0,26
1,Delta Air Lines,5,0,37
1,Endeavor Air,1,0,7
1,Envoy Air,0,0,9
1,Frontier Airlines,3,0,6
1,Hawaiian Airlines,1,0,4
1,JetBlue Airways,2,0,4
1,PSA Airlines,1,0,8
1,Republic Airways,0,0,2
1,SkyWest Airlines,5,0,23
1,Southwest Airlines,12,0,47
1,Spirit Airlines,3,0,9
1,United Airlines,7,3,31
2,Alaska Airlines,2,2,8
2,Allegiant Air,2,0,2
2,American Airlines,12,2,27
2,Delta Air Lines,6,0,24
2,Endeavor Air,1,0,8
2,Envoy Air,3,1,9
2,Frontier Airlines,2,0,6
2,Hawaiian Airlines,0,0,1
2,JetBlue Airways,2,0,3
2,PSA Airlines,1,0,2
2,Republic Airways,0,0,6
2,SkyWest Airlines,7,0,25
2,Southwest Airlines,10,2,28
2,Spirit Airlines,2,0,6
2,United Airlines,5,0,20
3,Alaska Airlines,2,1,5
3,Allegiant Air,0,0,2
3,American Airlines,6,1,21
3,Delta Air Lines,9,0,28
3,Endeavor Air,0,1,2
3,Envoy Air,2,0,6
3,Frontier Airlines,1,0,7
3,JetBlue Airways,1,0,2
3,PSA Airlines,3,1,6
3,Republic Airways,3,0,10
3,SkyWest Airlines,4,1,15
3,Southwest Airlines,9,1,32
3,Spirit Airlines,1,0,2
3,United Airlines,3,1,17
4,Alaska Airlines,0,0,1
4,Allegiant Air,0,0,5
4,American Airlines,6,0,17
4,Delta Air Lines,7,0,31
4,Endeavor Air,5,0,7
4,Envoy Air,2,0,5
4,Frontier Airlines,2,0,9
4,Hawaiian Airlines,0,0,1
4,JetBlue Airways,4,0,10
4,PSA Airlines,0,1,2
4,Republic Airways,0,0,8
4,SkyWest Airlines,2,0,22
4,Southwest Airlines,9,1,28
4,Spirit Airlines,0,0,7
4,United Airlines,3,1,17
5,Alaska Airlines,0,0,4
5,Allegiant Air,1,0,6
5,American Airlines,3,0,19
5,Delta Air Lines,1,0,22
5,Endeavor Air,0,0,5
5,Envoy Air,1,0,6
5,Frontier Airlines,3,0,6
5,Hawaiian Airlines,0,0,4
5,JetBlue Airways,0,0,6
5,PSA Airlines,0,0,5
5,Republic Airways,0,0,8
5,SkyWest Airlines,5,0,15
5,Southwest Airlines,3,1,27
5,Spirit Airlines,0,0,5
5,United Airlines,1,0,17
6,Alaska Airlines,0,0,3
6,Allegiant Air,1,0,1
6,American Airlines,7,1,25
6,Delta Air Lines,0,0,30
6,Endeavor Air,0,0,4
6,Envoy Air,1,0,4
6,Frontier Airlines,0,0,5
6,Hawaiian Airlines,0,0,4
6,JetBlue Airways,0,0,6
6,PSA Airlines,0,0,2
6,Republic Airways,0,0,6
6,SkyWest Airlines,3,1,20
6,Southwest Airlines,8,0,43
6,Spirit Airlines,1,0,5
6,United Airlines,1,0,24
7,Alaska Airlines,2,0,8
7,Allegiant Air,2,0,4
